uf,mes,ano,vitimas
RS,8,2018,10
SC,8,2018,2
SE,8,2018,1
SP,8,2018,11
AC,9,2018,1
AM,9,2018,2
BA,9,2018,3
CE,9,2018,5
DF,9,2018,1
ES,9,2018,4
GO,9,2018,5
MA,9,2018,7
MG,9,2018,20
MS,9,2018,6
PA,9,2018,10
PB,9,2018,2
PE,9,2018,6
PI,9,2018,1
PR,9,2018,14
RJ,9,2018,1
RN,9,2018,2
RR,9,2018,2
RS,9,2018,12
SC,9,2018,8
SE,9,2018,1
SP,9,2018,11
AC,10,2018,1
AL,10,2018,4
AM,10,2018,1
BA,10,2018,7
CE,10,2018,3
DF,10,2018,4
ES,10,2018,4
GO,10,2018,9
MA,10,2018,4
MG,10,2018,18
PA,10,2018,5
PB,10,2018,1
PE,10,2018,10
PI,10,2018,4
PR,10,2018,2
RJ,10,2018,5
RN,10,2018,4
RS,10,2018,7
SC,10,2018,2
SP,10,2018,17
AL,11,2018,3
AP,11,2018,1
BA,11,2018,8
CE,11,2018,2
DF,11,2018,1
ES,11,2018,3
MA,11,2018,2
MG,11,2018,22
MS,11,2018,3
PA,11,2018,5
PB,11,2018,2
PE,11,2018,5
PR,11,2018,5
RJ,11,2018,7
RN,11,2018,7
RS,11,2018,8
SC,11,2018,2
SE,11,2018,1
SP,11,2018,9
AC,12,2018,2
AL,12,2018,3
AP,12,2018,1
BA,12,2018,6
CE,12,2018,2
DF,12,2018,2
ES,12,2018,2
GO,12,2018,3
MA,12,2018,5
MG,12,2018,10
MS,12,2018,5
PA,12,2018,5
PB,12,2018,2
PE,12,2018,5
PI,12,2018,1
PR,12,2018,8
RJ,12,2018,8
RN,12,2018,1
RR,12,2018,2
RS,12,2018,16
SC,12,2018,1
SE,12,2018,1
SP,12,2018,15
AC,1,2019,2
AL,1,2019,8
BA,1,2019,5
CE,1,2019,1
DF,1,2019,3
ES,1,2019,5
GO,1,2019,2
MA,1,2019,3
MG,1,2019,12
MS,1,2019,1
MT,1,2019,6
PA,1,2019,1
PB,1,2019,2
PE,1,2019,9
PI,1,2019,2
PR,1,2019,5
RJ,1,2019,5
RN,1,2019,6
RO,1,2019,1
RS,1,2019,2
SC,1,2019,6
SE,1,2019,2
SP,1,2019,14
AL,2,2019,1
AM,2,2019,1
BA,2,2019,10
CE,2,2019,2
ES,2,2019,1
GO,2,2019,2
MA,2,2019,7
MG,2,2019,11
MS,2,2019,2
MT,2,2019,3
PA,2,2019,2
PE,2,2019,3
PI,2,2019,4
PR,2,2019,9
RJ,2,2019,2
RR,2,2019,3
RS,2,2019,1
SC,2,2019,5
SE,2,2019,1
SP,2,2019,11
TO,2,2019,1
AC,3,2019,1
AL,3,2019,2
AM,3,2019,3
BA,3,2019,9
CE,3,2019,2
DF,3,2019,3
ES,3,2019,2
GO,3,2019,3
MA,3,2019,1
MG,3,2019,9
MS,3,2019,6
MT,3,2019,2
PA,3,2019,4
PB,3,2019,2
PE,3,2019,4
PI,3,2019,1
PR,3,2019,8
RJ,3,2019,8
RN,3,2019,1
RO,3,2019,1
RS,3,2019,11
SC,3,2019,5
SE,3,2019,2
SP,3,2019,13
AL,4,2019,7
AM,4,2019,1
BA,4,2019,13
CE,4,2019,1
DF,4,2019,3
ES,4,2019,4
GO,4,2019,1
MA,4,2019,5
MG,4,2019,12
MS,4,2019,3
MT,4,2019,4
PA,4,2019,1
PB,4,2019,6
PE,4,2019,4
PI,4,2019,2
PR,4,2019,10
RJ,4,2019,8
RN,4,2019,3
RR,4,2019,1
RS,4,2019,6
SC,4,2019,8
SE,4,2019,2
SP,4,2019,16
TO,4,2019,1
AL,5,2019,5
AM,5,2019,1
AP,5,2019,1
BA,5,2019,6
CE,5,2019,4
DF,5,2019,3
ES,5,2019,1
GO,5,2019,3
MA,5,2019,5
MG,5,2019,14
MS,5,2019,3
MT,5,2019,1
PA,5,2019,3
PB,5,2019,4
PE,5,2019,4
PI,5,2019,4
PR,5,2019,10
RJ,5,2019,7
RN,5,2019,2
RO,5,2019,1
RS,5,2019,11
SC,5,2019,5
SE,5,2019,3
SP,5,2019,19
AL,6,2019,2
AM,6,2019,1
BA,6,2019,5
CE,6,2019,4
DF,6,2019,2
ES,6,2019,2
GO,6,2019,3
MA,6,2019,3
MG,6,2019,12
MS,6,2019,5
MT,6,2019,3
PA,6,2019,7
PB,6,2019,2
PE,6,2019,4
PI,6,2019,3
PR,6,2019,3
RJ,6,2019,5
RN,6,2019,2
RO,6,2019,1
RS,6,2019,9
SC,6,2019,3
SE,6,2019,1
SP,6,2019,11
AC,7,2019,2
AL,7,2019,3
AM,7,2019,1
BA,7,2019,11
CE,7,2019,4
DF,7,2019,1
ES,7,2019,6
GO,7,2019,4
MA,7,2019,5
MG,7,2019,11
MT,7,2019,6
PA,7,2019,7
PB,7,2019,1
PE,7,2019,6
PI,7,2019,1
PR,7,2019,6
RJ,7,2019,5
RN,7,2019,2
RO,7,2019,2
RS,7,2019,14
SC,7,2019,2
SE,7,2019,1
SP,7,2019,5
AL,8,2019,3
AM,8,2019,3
AP,8,2019,1
BA,8,2019,7
DF,8,2019,5
ES,8,2019,2
GO,8,2019,2
MA,8,2019,9
MG,8,2019,7
MS,8,2019,2
MT,8,2019,4
PA,8,2019,2
PB,8,2019,5
PE,8,2019,5
PR,8,2019,3
RJ,8,2019,6
RN,8,2019,1
RO,8,2019,1
RS,8,2019,8
SC,8,2019,5
SE,8,2019,1
SP,8,2019,13
TO,8,2019,2
AC,9,2019,1
AL,9,2019,3
BA,9,2019,7
CE,9,2019,5
DF,9,2019,6
ES,9,2019,4
GO,9,2019,3
MA,9,2019,6
MG,9,2019,17
MT,9,2019,4
PA,9,2019,6
PB,9,2019,4
PE,9,2019,6
PI,9,2019,4
PR,9,2019,13
RJ,9,2019,7
RR,9,2019,1
RS,9,2019,6
SC,9,2019,1
SE,9,2019,3
SP,9,2019,19
TO,9,2019,1
AC,10,2019,1
AL,10,2019,3
AM,10,2019,1
AP,10,2019,2
BA,10,2019,10
CE,10,2019,4
DF,10,2019,1
ES,10,2019,1
GO,10,2019,6
MA,10,2019,5
MG,10,2019,16
MS,10,2019,2
MT,10,2019,1
PA,10,2019,6
PB,10,2019,6
PE,10,2019,6
PI,10,2019,2
PR,10,2019,9
RJ,10,2019,9
RN,10,2019,1
RS,10,2019,9
SC,10,2019,5
SE,10,2019,1
SP,10,2019,18
TO,10,2019,1
AC,11,2019,1
AL,11,2019,3
AP,11,2019,3
BA,11,2019,9
CE,11,2019,2
DF,11,2019,3
ES,11,2019,2
GO,11,2019,3
MG,11,2019,10
MS,11,2019,2
MT,11,2019,4
PA,11,2019,3
PB,11,2019,1
PE,11,2019,1
PI,11,2019,4
PR,11,2019,9
RJ,11,2019,13
RN,11,2019,3
RR,11,2019,1
RS,11,2019,10
SC,11,2019,11
SE,11,2019,2
SP,11,2019,17
TO,11,2019,2
AC,12,2019,3
AL,12,2019,3
BA,12,2019,9
CE,12,2019,5
DF,12,2019,2
ES,12,2019,4
GO,12,2019,8
MA,12,2019,2
MG,12,2019,15
MS,12,2019,3
MT,12,2019,1
PA,12,2019,5
PB,12,2019,3
PE,12,2019,5
PI,12,2019,2
PR,12,2019,4
RJ,12,2019,7
RS,12,2019,7
SC,12,2019,2
SE,12,2019,2
SP,12,2019,27
TO,12,2019,1
AL,1,2020,3
AM,1,2020,1
BA,1,2020,9
CE,1,2020,3
DF,1,2020,4
ES,1,2020,4
GO,1,2020,1
MA,1,2020,1
MG,1,2020,6
